DOID:0050120	OMIM:PS267700
DOID:0050156	OMIM:178500
DOID:0050158	OMIM:263000
DOID:0050167	OMIM:240300
DOID:0050168	OMIM:269200
DOID:0050328	OMIM:PS275200
DOID:0050331	OMIM:149730
DOID:0050335	OMIM:PS608415
DOID:0050387	OMIM:144700
DOID:0050419	OMIM:610984
DOID:0050424	OMIM:PS175100
DOID:0050425	OMIM:PS102300
DOID:0050428	OMIM:600962
DOID:0050429	OMIM:169600
DOID:0050430	OMIM:171400
DOID:0050431	OMIM:PS107970
DOID:0050432	OMIM:608631
DOID:0050432	OMIM:608638
DOID:0050432	OMIM:608781
DOID:0050432	OMIM:609954
DOID:0050432	OMIM:PS608638
DOID:0050433	OMIM:600072
DOID:0050434	OMIM:170390
DOID:0050436	OMIM:253250
DOID:0050437	OMIM:300257
DOID:0050438	OMIM:136680
DOID:0050439	OMIM:PS276900
DOID:0050440	OMIM:PS151660
DOID:0050441	OMIM:272200
DOID:0050445	OMIM:307800
DOID:0050448	OMIM:PS193900
DOID:0050449	OMIM:PS167200
DOID:0050450	OMIM:263800
DOID:0050451	OMIM:PS601144
DOID:0050452	OMIM:610377
DOID:0050453	OMIM:PS607432
DOID:0050454	OMIM:300049
DOID:0050454	OMIM:608097
DOID:0050454	OMIM:608098
DOID:0050454	OMIM:612881
DOID:0050454	OMIM:615544
DOID:0050458	OMIM:607785
DOID:0050460	OMIM:194190
DOID:0050461	OMIM:208400
DOID:0050462	OMIM:201750
DOID:0050463	OMIM:114290
DOID:0050464	OMIM:228000
DOID:0050465	OMIM:158320
DOID:0050467	OMIM:PS133200
DOID:0050468	OMIM:153300
DOID:0050469	OMIM:218040
DOID:0050470	OMIM:246200
DOID:0050471	OMIM:160980
DOID:0050471	OMIM:605244
DOID:0050471	OMIM:608837
DOID:0050472	OMIM:158000
DOID:0050473	OMIM:203800
DOID:0050474	OMIM:256500
DOID:0050475	OMIM:277600
DOID:0050475	OMIM:608328
DOID:0050475	OMIM:613195
DOID:0050475	OMIM:614819
DOID:0050475	OMIM:PS277600
DOID:0050476	OMIM:302060
DOID:0050477	OMIM:177200
DOID:0050489	OMIM:138800
DOID:0050489	OMIM:300273
DOID:0050489	OMIM:606082
DOID:0050489	OMIM:PS138800
DOID:0050524	OMIM:606391
DOID:0050526	OMIM:137200
DOID:0050528	OMIM:234050
DOID:0050529	OMIM:271150
DOID:0050530	OMIM:253550
DOID:0050534	OMIM:PS310500
DOID:0050535	OMIM:PS133780
DOID:0050539	OMIM:118230
DOID:0050539	OMIM:604484
DOID:0050540	OMIM:145900
DOID:0050545	OMIM:306955
DOID:0050545	OMIM:605376
DOID:0050545	OMIM:606325
DOID:0050545	OMIM:613751
DOID:0050545	OMIM:614779
DOID:0050545	OMIM:PS306955
DOID:0050546	OMIM:613743
DOID:0050547	OMIM:155240
DOID:0050548	OMIM:PS162400
DOID:0050553	OMIM:256040
DOID:0050554	OMIM:301310
DOID:0050557	OMIM:254100
DOID:0050558	OMIM:254090
DOID:0050559	OMIM:253800
DOID:0050561	OMIM:606369
DOID:0050564	OMIM:PS124900
DOID:0050565	OMIM:607197
DOID:0050565	OMIM:PS220290
DOID:0050566	OMIM:PS304500
DOID:0050567	OMIM:PS119530
