Symptom,Related terms
cellulitis,"COVID-19;Cellulitis;Neck;Chromobacterium;Anti-Bacterial Agents;Gram-Negative Bacterial Infections;Aspergillosis;Immunocompromised Host;Tomography, X-Ray Computed;Antifungal Agents;Orbital Cellulitis;Precursor Cell Lymphoblastic Leukemia-Lymphoma;Mite Infestations;Eye Infections, Parasitic;Cellulitis;Skin Diseases;Appendectomy;Appendicitis;Randomized Controlled Trials as Topic;Cellulitis;Cellulitis;Dog Diseases;Anti-Bacterial Agents;Methicillin-Resistant Staphylococcus aureus;Staphylococcal Infections;Cross Infection;Orbital Cellulitis;Orbital Cellulitis;Cellulitis;Lymphedema;Maxillary Sinusitis;Orbital Cellulitis;Diabetes Mellitus, Type 2;Sinusitis;Ludwig's Angina;Tongue Diseases;Digital Dermatitis;Mastitis;Fasciitis, Necrotizing;Soft Tissue Infections;Sepsis;Cellulitis;Cellulitis;Thermography;Skin Temperature;Cellulitis;Overweight;Anti-Bacterial Agents;Peritonsillar Abscess;Cellulitis;Recurrence;Cellulitis;Lupus Erythematosus, Systemic;Odontodysplasia;Aspergillus nidulans;Horse Diseases;Pituitary Diseases;Pituitary Gland, Intermediate;Osteomyelitis;Dermatitis;Ludwig's Angina;Cellulitis;Myiasis;Diabetes Mellitus, Type 2;Metformin;Insect Bites and Stings;Hypersensitivity;Horse Diseases;Cattle Diseases;Candidiasis, Chronic Mucocutaneous;Candidiasis;Impetigo;Eye Diseases;Gastrostomy;Surgical Wound Infection;Cellulitis;Fournier Gangrene;Agammaglobulinemia;Helicobacter;Helicobacter Infections;Genetic Diseases, X-Linked;Cellulitis;Eyelid Diseases;Photochemotherapy;Scalp Dermatoses;Skin Diseases, Genetic;Cellulitis;Atrial Flutter;Drug-Related Side Effects and Adverse Reactions;Quality of Life;Lymphedema;Cellulitis;Dog Diseases;Serratia marcescens;Dermatitis, Atopic;Staphylococcal Infections;Eosinophilia;Anti-Infective Agents;Bacteremia;Streptococcal Infections;Genital Neoplasms, Female;Surgery, Plastic;Orbital Cellulitis;Sepsis;Breast Neoplasms;Mammaplasty;Breast Implants;Breast Implantation;Lacrimal Duct Obstruction;Orbital Cellulitis;Dacryocystorhinostomy;Nasolacrimal Duct;Dacryocystitis;Mucocutaneous Lymph Node Syndrome;Exanthema;Lymphedema;Breast Neoplasms;Herpesvirus 1, Human;Meningitis, Meningococcal;Orbital Cellulitis;Methicillin-Resistant Staphylococcus aureus;Venous Thrombosis;Mpox (monkeypox);Staphylococcal Infections;Cartilage Diseases;Breast Neoplasms;Fasciitis, Necrotizing;Soft Tissue Infections;Adenocarcinoma, Mucinous;Dermatitis, Atopic;Skin Diseases, Infectious"
abdominal cramp,"Breast Feeding;Colic;Probiotics;Horse Diseases;Laparotomy;Ultrasonography;Surgical Wound Infection;Colic;Colic;Quality of Life;Gastrointestinal Diseases;Colic;Intussusception;Colic;Intestinal Obstruction;Meckel Diverticulum;Neoplasms;Gastrointestinal Diseases;Gastrointestinal Microbiome;Limosilactobacillus reuteri;Probiotics;Colic;Lactase;Randomized Controlled Trials as Topic;Dietary Supplements;Staghorn Calculi;Colic;Kidney Calculi;Abdominal Abscess;Intestinal Fistula;Renal Colic;Colic;Irritable Bowel Syndrome;Probiotics;Colic;Bifidobacterium animalis;Limosilactobacillus reuteri;Colic;Fecal Impaction;Horse Diseases;Hyperlipidemias;Colic;Analgesia;Horse Diseases;Sulfones;Colic;Colon, Transverse;Colonic Neoplasms;Colic;Intestinal Obstruction;Horse Diseases;Renal Colic;Tramadol;Colic;Colic;Gastrointestinal Diseases;Bottle-Nosed Dolphin;Colic;Brain-Derived Neurotrophic Factor;Colic;Colic;Horse Diseases;Colic;Migraine Disorders;Colic;Horse Diseases;Colic;Renal Colic;Colic;Probiotics;Limosilactobacillus reuteri;Colic;Hypoalbuminemia;Horse Diseases;Colitis;Colic;Social Media;Horse Diseases;Coleoptera;Colic;Colic;Gastrointestinal Diseases;Colic;Laparoscopy;Surgical Wound;Colonic Neoplasms;Limosilactobacillus reuteri;Colic;Helicobacter Infections;Helicobacter pylori;Digestive System Diseases;Diverticulitis;Inflammatory Bowel Diseases;Colorectal Neoplasms;Hernia, Inguinal;Intestinal Volvulus;Horse Diseases;Colic;Fistula;Kidney Diseases;Intestinal Fistula;Colic;Colonic Diseases;Gastric Fistula;Colic;Horse Diseases;Respiratory Hypersensitivity;Chiropractic;Colic;Colic;Cholecystolithiasis;Cholecystectomy, Laparoscopic;Gallbladder Diseases;Bile Duct Diseases;Colic;Horse Diseases;Chiropractic;Colic;Colic;Eczema;Colic;Renal Colic;Ureteral Calculi;Colic;Acupuncture Therapy;Analgesia;Elephants;Gastrointestinal Microbiome;Colic;Colic;Horse Diseases;Stomach Diseases;Colic;Horse Diseases;Gastrointestinal Microbiome;Colic;Microbiota;Colic;Gallstones;Cholecystectomy, Laparoscopic;Gallbladder Diseases;Renal Colic;Colic;Colic;Horse Diseases;Colic;Horse Diseases;Colic;Horse Diseases;Choledocholithiasis;Colic;Cholangitis;Horse Diseases;Colic;Horse Diseases"
abdominal distention,"Protein Carbamylation;Aortic Aneurysm, Abdominal;Intestinal Pseudo-Obstruction;Intestinal Obstruction;Gastroschisis;Coronary Aneurysm;Takotsubo Cardiomyopathy;Vascular Diseases;Choledochal Cyst;Pancreaticobiliary Maljunction;Bile Ducts, Extrahepatic;Biliary Tract Neoplasms;Superior Mesenteric Artery Syndrome;Gastric Dilatation;Binge-Eating Disorder;Celiac Disease;Pelvic Floor Disorders;Aneurysm;Thrombosis;Gastric Bypass;Obesity, Morbid;Laparoscopy;Hirschsprung Disease;Radiology;Loeys-Dietz Syndrome;Connective Tissue Diseases;Craniosynostoses;COVID-19;Vascular Diseases;Caroli Disease;Cholangitis;Liver Diseases;Cholecystectomy, Laparoscopic;Choledochal Cyst;Laparoscopy;Neuroendocrine Tumors;Pancreatic Neoplasms;Aortic Aneurysm, Abdominal;Bronchogenic Cyst;Irritable Bowel Syndrome;Aortic Aneurysm, Abdominal;Blood Vessel Prosthesis Implantation;Endovascular Procedures;Bile Duct Neoplasms;Biliary Tract Surgical Procedures;Cholangiocarcinoma;Papilloma;Dyspepsia;Gastrointestinal Diseases;Irritable Bowel Syndrome;Aortic Coarctation;Aortic Diseases;Bicuspid Aortic Valve Disease;Heart Valve Diseases;Vascular Stiffness;Intestinal Pseudo-Obstruction;Lupus Erythematosus, Systemic;Aminopropionitrile;Pancreatic Elastase;Aortic Aneurysm, Abdominal;Blood Vessel Prosthesis Implantation;Endovascular Procedures;Blood Vessel Prosthesis Implantation;Endovascular Procedures;Aortic Aneurysm, Abdominal;Gastroschisis;Regeneration;Vascular Remodeling;Gastroschisis;Polyhydramnios;Ultrasonography;Endovascular Procedures;Vascular Remodeling;Vascular Remodeling;Aorta, Thoracic;Aortic Aneurysm, Abdominal;Aortic Aneurysm, Thoracic;Stents;Vascular Remodeling;Aortic Aneurysm, Abdominal;Aortic Aneurysm, Thoracic"
ataxia,"Cerebellar Ataxia;Trinucleotide Repeat Expansion;Mitochondrial Proton-Translocating ATPases;Drosophila melanogaster;Disease Models, Animal;Spinocerebellar Ataxias;TATA-Box Binding Protein;CADASIL;Ataxia;Stroke;Nitrous Oxide;Vitamin B 12;Magnetic Resonance Imaging;Tremor;Fragile X Syndrome;Ataxia;Encephalitis;Lipectomy;Killer Cells, Natural;Ataxia Telangiectasia Mutated Proteins;NK Cell Lectin-Like Receptor Subfamily K;Disease Progression;Muscle Spasticity;Spinocerebellar Ataxias;Paresthesia;Ataxia;Acid Anhydride Hydrolases;MRE11 Homologue Protein;Cell Cycle Proteins;DNA-Binding Proteins;DNA Repair Enzymes;Nuclear Proteins;Acyltransferases;Cerebellar Ataxia;Hypogonadism;Retinal Dystrophies;Cerebellar Ataxia;Support Vector Machine;Magnetic Resonance Imaging;Spinocerebellar Ataxias;Brain;Biomarkers;Fragile X Syndrome;Tremor;Postural Balance;Ataxia;Spinocerebellar Ataxias;Peptides;Disease Models, Animal;Dependovirus;Ataxin-7;Trinucleotide Repeat Expansion;RNA, Small Interfering;Phenotype;Horse Diseases;Pedigree;Phenotype;Mosaicism;Spinocerebellar Ataxias;Trinucleotide Repeat Expansion;Machine Learning;Metabolomics;Dystonia;Myoclonus;Spinocerebellar Degenerations;Dystonic Disorders;Machado-Joseph Disease;Spinocerebellar Ataxias;Ataxia;Spinocerebellar Ataxias;Urethra;Ataxia;Herpesvirus 1, Equid;Horse Diseases;Ataxia;Herpesviridae Infections;Dysarthria;Cerebellar Ataxia;Induced Pluripotent Stem Cells;Spinocerebellar Ataxias;Ataxia Telangiectasia;Herpesviridae Infections;Upper Extremity;Ataxia;Ataxia Telangiectasia;Cerebellar Diseases;Bilateral Vestibulopathy;Cerebellar Ataxia;Fragile X Syndrome;Mitochondrial Diseases;Disease Models, Animal;Phenotype;Memantine;Disease Models, Animal;Spinocerebellar Ataxias;Phenotype;Spinocerebellar Ataxias;Mutation;Proteins;Ornithine Carbamoyltransferase Deficiency Disease;Neural Conduction;Cytokines;Ataxia Telangiectasia;Dystonia;Cerebellar Ataxia;Muscle Weakness;Mitochondrial Diseases;Ataxia Telangiectasia;Colorectal Neoplasms;Isoxazoles;Pyrazines;Autism Spectrum Disorder;Cytomegalovirus Infections;Nervous System Diseases;Fragile X Syndrome;Ataxia;Tremor;Dysarthria;Polyradiculoneuropathy, Chronic Inflammatory Demyelinating;Spinocerebellar Ataxias;Magnetic Resonance Imaging;Tremor;Tomography, Emission-Computed, Single-Photon;Cerebellar Ataxia;Friedreich Ataxia;Ataxin-1;Spinocerebellar Ataxias;Muscle, Skeletal;Disease Models, Animal;Sustainable Development;Government;Machado-Joseph Disease;Neurodegenerative Diseases;Neoplasms;Spinocerebellar Ataxias;Positron-Emission Tomography;Fluorodeoxyglucose F18;Cognitive Dysfunction;Cerebellar Ataxia;Movement Disorders;Nervous System Diseases;Neoplasms"
backache,"Familial Mediterranean Fever;Sacroiliitis;Magnetic Resonance Imaging;Biomarkers;Neutrophils;Low Back Pain;Physical Therapy Modalities;Network Meta-Analysis;Bayes Theorem;Chronic Pain;Low Back Pain;Hamstring Muscles;Magnetic Resonance Imaging;Low Back Pain;Proprioception;Exercise Therapy;Low Back Pain;Scapula;Low Back Pain;Psoas Muscles;Magnetic Resonance Imaging;Disability Evaluation;Pain Measurement;Low Back Pain;Exercise Therapy;Quality of Life;Physical Therapy Modalities;Hydrotherapy;Low Back Pain;Exercise Movement Techniques;Range of Motion, Articular;Lumbar Vertebrae;Gymnastics;Hamstring Muscles;Range of Motion, Articular;Exercise Movement Techniques;Delphi Technique;Abdominal Muscles;Exercise Therapy;Low Back Pain;Ultrasonography;Low Back Pain;Range of Motion, Articular;Low Back Pain;Primary Health Care;Low Back Pain;Physical Therapists;Qualitative Research;Spinal Stenosis;Lumbar Vertebrae;Spinal Nerve Roots;Low Back Pain;Low Back Pain;Physical Therapy Modalities;Social Determinants of Health;Low Back Pain;COVID-19;Pain Measurement;Exercise;Disability Evaluation;Catastrophization;Lumbar Vertebrae;Bone Density Conservation Agents;Low Back Pain;Magnetic Resonance Imaging;Low Back Pain;Chronic Pain;Low Back Pain;Machine Learning;Low Back Pain;Patient Reported Outcome Measures;Primary Health Care;Chronic Pain;Low Back Pain;Quality of Life;Radiofrequency Ablation;Chronic Pain;Pain Measurement;Low Back Pain;Low Back Pain;Accidental Falls;Back Pain;Stiff-Person Syndrome;Low Back Pain;Low Back Pain;Coccyx;Tapentadol;Chronic Pain;Quality of Life;Low Back Pain;Exercise Therapy;Disability Evaluation;Catastrophization;Low Back Pain;Ergonomics;Low Back Pain;Back Pain;Low Back Pain;Practice Guidelines as Topic;Anti-Inflammatory Agents, Non-Steroidal;Back Pain;Empathy;Physician-Patient Relations;Radiculopathy;Neck Pain;Back Pain;Low Back Pain;Tramadol;Analgesics, Opioid;Manipulation, Chiropractic;Lifting;Weight-Bearing;Low Back Pain;Lumbar Vertebrae;Low Back Pain;Paraspinal Muscles;Low Back Pain;Bone Cysts, Aneurysmal;Thoracic Vertebrae;Lumbar Vertebrae;Decompression, Surgical;Magnetic Resonance Imaging;Low Back Pain;Chronic Pain;Low Back Pain;Goals;Exercise Therapy;Patient Education as Topic;Radiculopathy;Aminoquinolines;Low Back Pain;Low Back Pain;Motivational Interviewing;Musculoskeletal Manipulations;Pain Measurement;Moving and Lifting Patients;Ergonomics;Low Back Pain;Low Back Pain;Cross-Over Studies;Elastic Modulus;Athletes"
bleeding,"Endoleak;Endovascular Procedures;Myocardial Infarction;Tranexamic Acid;Antifibrinolytic Agents;Wounds and Injuries;Scalp;Oculomotor Muscles;Machine Learning;Disease Progression;Brain Injuries, Traumatic;Mendelian Randomization Analysis;Subarachnoid Hemorrhage;Intracranial Aneurysm;Genome-Wide Association Study;Hyperbaric Oxygenation;Hematopoietic Stem Cell Transplantation;Cystitis;Hemorrhage;Percutaneous Coronary Intervention;Acute Coronary Syndrome;Platelet Aggregation Inhibitors;Hemorrhage;Drug-Eluting Stents;Dual Anti-Platelet Therapy;Myeloproliferative Disorders;Fusion Proteins, bcr-abl;Gastric Bypass;Postoperative Hemorrhage;Atrial Fibrillation;Factor Xa Inhibitors;Perioperative Care;Registries;Pyrazoles;Pyridones;Hemorrhage;Clopidogrel;Percutaneous Coronary Intervention;Platelet Aggregation Inhibitors;Proton Pump Inhibitors;Gastrointestinal Hemorrhage;Cyclophosphamide;Autoimmune Diseases;Cystitis;Mesna;Urinary Bladder Neoplasms;Tissue Plasminogen Activator;Vitrectomy;Retinal Hemorrhage;Visual Acuity;Intravitreal Injections;Tomography, Optical Coherence;Fibrinolytic Agents;Quality of Life;Nausea;Vomiting;Menorrhagia;Efficiency;Anemia, Iron-Deficiency;Proton Pump Inhibitors;Gastrointestinal Hemorrhage;Percutaneous Coronary Intervention;Myocardial Ischemia;Intracranial Aneurysm;Aneurysm, Ruptured;Cerebral Hemorrhage;Fibrinolytic Agents;Registries;Percutaneous Coronary Intervention;Acute Kidney Injury;Contrast Media;Hemorrhage;Intracranial Hemorrhages;Factor Xa Inhibitors;Pyrazoles;Pyridones;Renal Dialysis;Vitamin K;Epistaxis;Drugs, Chinese Herbal;Serotonin;Burkitt Lymphoma;Stomach Neoplasms;Atrial Fibrillation;Rivaroxaban;Hemorrhage;Drugs, Generic;Factor Xa Inhibitors;Postpartum Hemorrhage;Electronic Health Records;Pulmonary Embolism;Anticoagulants;Capsule Endoscopy;Gastrointestinal Hemorrhage;Intestine, Small;Artificial Intelligence;Deep Learning;Antibiotic Prophylaxis;Gastrointestinal Hemorrhage;Esophageal and Gastric Varices;Liver Cirrhosis;Anti-Bacterial Agents;Aneurysm, False;Splenic Artery;Embolization, Therapeutic;Tomography, X-Ray Computed;Alginates;Hemostatics;Hemostasis;Gels;Endarterectomy;Hematoma;Fibrinogen;Shaken Baby Syndrome;Child Abuse;Expert Testimony;Indocyanine Green;Rectal Neoplasms;Lymph Node Excision;Anticoagulants;Intracranial Hemorrhages;Heart Valve Prosthesis;Gastrointestinal Hemorrhage;Scurvy;Ascorbic Acid;Gastrointestinal Hemorrhage;Proton Pump Inhibitors;Granulomatous Disease, Chronic;Purpura, Thrombocytopenic, Idiopathic;Subarachnoid Hemorrhage;Biomarkers;Dinoprost;Brain Ischemia;Hematoma;Postpartum Hemorrhage;Early Diagnosis;Purpura, Thrombotic Thrombocytopenic;Intensive Care Units;Plasma Exchange;Angiodysplasia;Gastrointestinal Hemorrhage;Endoscopic Ultrasound-Guided Fine Needle Aspiration;Pancreatic Neoplasms;Double-Balloon Enteroscopy;Single-Balloon Enteroscopy;Intestine, Small;Gastrointestinal Hemorrhage;Purpura, Thrombotic Thrombocytopenic;Plasma Exchange;Pregnancy Complications, Hematologic;Electroencephalography"
blindness,"Recurrence;Blindness;Quality of Life;Eye, Artificial;Feeding Behavior;Characidae;Corneal Diseases;Corneal Transplantation;Cornea;Prostheses and Implants;Autoimmune Diseases;Uveitis;Visual Acuity;Glaucoma;Intraocular Pressure;Quality of Life;Laser Therapy;Visually Impaired Persons;Touch;Hand Strength;Genetic Therapy;Blindness;CRISPR-Cas Systems;Gene Editing;Blindness;Deaf-Blind Disorders;Communication;Pan troglodytes;Ape Diseases;Mycobacterium tuberculosis;Blindness;Meningoencephalitis;Allergy and Immunology;Books;Art;Allergy and Immunology;Blindness, Cortical;Vertebroplasty;Retinitis Pigmentosa;Sexual Behavior;Blindness;Employment;Hemianopsia;Positron-Emission Tomography;Fluorodeoxyglucose F18;Visual Cortex;Glucose;Blindness;Magnetic Resonance Imaging;Entorhinal Cortex;Brain Mapping;Cataract Extraction;Parks, Recreational;Social Class;Motivation;Popular Culture;Global Burden of Disease;Blood Glucose;Glaucoma;Uveitis;Cornea;Keratitis;Blindness;Mental Disorders;Diabetes Mellitus;Diabetic Retinopathy;Usher Syndromes;Hearing Loss, Sensorineural;Postoperative Complications;Blindness;Blindness;Touch Perception;Theft;Attention;Wolfram Syndrome;Endocrinology;Trigeminal Neuralgia;Nerve Block;Characidae;Carpal Tunnel Syndrome;Shoulder;Trust;Blindness;Medically Underserved Area;Task Shifting;Blindness;Cataract;Glaucoma, Open-Angle;Cataract Extraction;Phacoemulsification;Medicine;Mental Disorders;Diabetes Complications;Diabetes Mellitus;Heart Failure;Myocardial Infarction;Kidney Failure, Chronic;Retinal Diseases;Stroke;Usher Syndromes;Postural Balance;Walking;Primary Visual Cortex;Deaf-Blind Disorders;Disabled Persons;Zebrafish;Cartilage;Zebrafish Proteins;DNA Helicases;Glaucoma;Glaucoma;Endoscopy;Optic Nerve"
blister,"Blister;Compartment Syndromes;Collagen Type VII;Epidermolysis Bullosa Dystrophica;Disease Models, Animal;Frameshift Mutation;Phenotype;Skin Diseases, Vesiculobullous;Pulmonary Disease, Chronic Obstructive;Pulmonary Emphysema;Thoracic Surgery, Video-Assisted;Blister;Communicable Diseases;Exanthema;Intestinal Perforation;Foreign Bodies;Lung Diseases;Pneumothorax;Skin Diseases;Pemphigus;Pemphigoid, Bullous;Exanthema;Acne Vulgaris;Dermatitis, Exfoliative;Vibrio vulnificus;Sepsis;Vibrio Infections;Blister;Cornea;Blister;Mastocytosis, Cutaneous;Sweet Syndrome;Felty Syndrome;Hand Dermatoses;Skin Diseases;Dermatitis;Neutropenia;Lupus Erythematosus, Systemic;Erythema Multiforme;Skin Diseases, Vesiculobullous;Lupus Erythematosus, Cutaneous;Linear IgA Bullous Dermatosis;Pemphigoid, Bullous;Autoimmune Diseases;Botulinum Toxins;Ketorolac;Nanofibers;Autoantibodies;Pemphigoid, Bullous;Chikungunya Fever;Chikungunya virus;Skin Abnormalities;Herpes Simplex;Lymphohistiocytosis, Hemophagocytic;Pityriasis Lichenoides;Skin Neoplasms;Skin Ulcer;Blister;Pulmonary Disease, Chronic Obstructive;Lung Diseases;Multiple Sclerosis;White Matter;Corneal Edema;Cat Diseases;Epidermolysis Bullosa;Epidermolysis Bullosa, Junctional;Cardiac Surgical Procedures;Mitral Valve Insufficiency;Rodentia;Rodent Diseases;Collagen Type VII;Epidermolysis Bullosa Dystrophica;Genetic Therapy;Intracranial Aneurysm;Aortic Dissection;Pemphigoid, Bullous;Incontinentia Pigmenti;Pemphigus;Psoriasis;Leprosy;Erythema Nodosum;Thyroid Nodule;Catheter Ablation;Cutaneous Fistula;Radiofrequency Ablation;Blister;Skin Abnormalities;Asthma;Autoimmune Diseases;Nipecotic Acids;Anthrax;Skin Diseases, Bacterial;Bacillus anthracis;Fish Diseases;Decapoda;Urticaria;Skin Diseases;Dermatitis;Pemphigoid, Bullous;Neoplasms;Autoimmune Diseases;Calcinosis;Bone Diseases;Blister;Skin Abnormalities;Pemphigoid, Bullous;Autoimmune Diseases;Pemphigoid, Bullous;Pemphigus;Epidermolysis Bullosa Acquisita;Pemphigoid, Bullous;Epidermolysis Bullosa Dystrophica;Janus Kinase Inhibitors;Epidermolysis Bullosa;Azetidines;Purines;Pyrazoles;Sulfonamides;Hepatitis B, Chronic;Hepatitis B;Skin Abnormalities;Blister;Skin Abnormalities;Autoimmune Diseases;Snake Bites;Crotalinae;Venomous Snakes"
blurred vision,"Contrast Sensitivity;Myopia;Retina;Retinal Cone Photoreceptor Cells;Contact Lenses, Hydrophilic;Dry Eye Syndromes;Keratomileusis, Laser In Situ;Myopia;Lens Implantation, Intraocular;Reading;Myopia;Cataract;Eye;Optical Devices;Retina;Vision, Ocular;Feedback, Sensory;Movement;Contrast Sensitivity;Nystagmus, Optokinetic;Vision, Ocular;Attention;Vision, Ocular;Memory;Vision, Ocular;Visual Perception;Vision, Ocular;Visual Perception;Models, Biological;Contact Lenses, Hydrophilic;Dry Eye Syndromes;Color Vision;Lighting;Night Vision;Sports Equipment;Amblyopia;Evoked Potentials, Visual;Body Fluids;Models, Neurological;Magnetic Resonance Imaging;Motion;Lens Implantation, Intraocular;Hemispherectomy;Vision, Ocular;Eyeglasses;Software;Renal Dialysis;Vision, Ocular;Vision, Ocular;Contact Lenses;Paintings;Light;Accidents, Traffic;Automobile Driving;Walking;Foreign Bodies;Magnetic Resonance Imaging"

