PMID,Sentence,Found Terms,Classification
39196156,"As human adult cardiomyocytes have limited regenerative ability, cardiomyocytes lost after myocardial infarction are replaced by fibrotic scar tissue, leading to cardiac dysfunction and heart failure.",Heart Failure,LABEL_1
39196156,"As human adult cardiomyocytes have limited regenerative ability, cardiomyocytes lost after myocardial infarction are replaced by fibrotic scar tissue, leading to cardiac dysfunction and heart failure.",Myocardial Infarction,LABEL_1
39196154,"Report from the 2023 workshop on endothelial permeability, edema and inflammation.",Edema,LABEL_0
39196154,"Report from the 2023 workshop on endothelial permeability, edema and inflammation.",Inflammation,LABEL_0
39196152,"Atherosclerosis is a chronic inflammatory disease of the arteries that can lead to thrombosis, infarction and stroke, underlying the first cause of mortality worldwide.",Disease,LABEL_0
39196152,"Atherosclerosis is a chronic inflammatory disease of the arteries that can lead to thrombosis, infarction and stroke, underlying the first cause of mortality worldwide.",Thrombosis,LABEL_0
39196152,"Atherosclerosis is a chronic inflammatory disease of the arteries that can lead to thrombosis, infarction and stroke, underlying the first cause of mortality worldwide.",Atherosclerosis,LABEL_0
39196152,"Atherosclerosis is a chronic inflammatory disease of the arteries that can lead to thrombosis, infarction and stroke, underlying the first cause of mortality worldwide.",Atherosclerosis,LABEL_0
39196152,"Atherosclerosis is a chronic inflammatory disease of the arteries that can lead to thrombosis, infarction and stroke, underlying the first cause of mortality worldwide.",Chronic Disease,LABEL_0
39196152,"Adaptive immunity plays critical roles in atherosclerosis, and numerous studies have ascribed both atheroprotective and atherogenic functions to specific subsets of T and B cells.",Adaptive Immunity,LABEL_0
39196152,Here we review the role of adaptive immunity in atherosclerosis and the insights that single-cell technology has provided into the function of distinct immune cell subsets.,Role,LABEL_0
39196150,"Arrhythmogenic right ventricular cardiomyopathy (ARVC) is a fatal genetic heart disease characterized by cardiac arrhythmias, in which fibrofatty deposition leads to heart failure, with no effective treatments.",Heart Failure,LABEL_0
39196150,"Arrhythmogenic right ventricular cardiomyopathy (ARVC) is a fatal genetic heart disease characterized by cardiac arrhythmias, in which fibrofatty deposition leads to heart failure, with no effective treatments.",Disease,LABEL_0
39196150,"Arrhythmogenic right ventricular cardiomyopathy (ARVC) is a fatal genetic heart disease characterized by cardiac arrhythmias, in which fibrofatty deposition leads to heart failure, with no effective treatments.",Arrhythmias,LABEL_0
39196150,"Arrhythmogenic right ventricular cardiomyopathy (ARVC) is a fatal genetic heart disease characterized by cardiac arrhythmias, in which fibrofatty deposition leads to heart failure, with no effective treatments.",Cardiac,LABEL_0
39196150,"Arrhythmogenic right ventricular cardiomyopathy (ARVC) is a fatal genetic heart disease characterized by cardiac arrhythmias, in which fibrofatty deposition leads to heart failure, with no effective treatments.",Cardiac,LABEL_1
39196150,"Here, we generate a mouse model harboring a PKP2 mutation (IVS10-1G>C) affecting RNA splicing, recapitulating ARVC features and sudden death starting at 4 weeks.",Sudden,LABEL_0
39196141,Ventricular fibrillation (VF) is a leading immediate cause of sudden cardiac death.,Ventricular Fibrillation,LABEL_0
39196141,Ventricular fibrillation (VF) is a leading immediate cause of sudden cardiac death.,Ventricular Fibrillation,LABEL_0
39196141,Ventricular fibrillation (VF) is a leading immediate cause of sudden cardiac death.,Death,LABEL_0
39196140,Platelet ceramides drive thrombo-inflammation in aortic aneurysm formation.,Aneurysm,LABEL_0
39196140,Platelet ceramides drive thrombo-inflammation in aortic aneurysm formation.,Aortic Aneurysm,LABEL_0
39195892,"GPR15 has been identified as a homing receptor for regulatory T cells in inflammatory intestine diseases, but its role in inflammatory heart diseases is still elusive.",Role,LABEL_0
39195892,"GPR15 has been identified as a homing receptor for regulatory T cells in inflammatory intestine diseases, but its role in inflammatory heart diseases is still elusive.",Heart Diseases,LABEL_0
39195892,"GPR15 has been identified as a homing receptor for regulatory T cells in inflammatory intestine diseases, but its role in inflammatory heart diseases is still elusive.",Heart Diseases,LABEL_1
39195892,"GPR15 has been identified as a homing receptor for regulatory T cells in inflammatory intestine diseases, but its role in inflammatory heart diseases is still elusive.",Heart Diseases,LABEL_0
39195355,The association between developmental delay and endophthalmitis after pediatric cataract surgery using an insurance claims database.,Endophthalmitis,LABEL_0
39195355,To evaluate risk factors for postoperative endophthalmitis in pediatric cataract surgery based on an analysis of a large insurance claims database.,Endophthalmitis,LABEL_0
39195354,Children with high astigmatism: tomographic and refractive characteristics and the ability of current indices to rule out keratoconus.,Keratoconus,LABEL_0
39195354,"To assess corneal tomographic, topographic, and refractive changes in children with high astigmatism and their ability to exclude keratoconus.",Keratoconus,LABEL_1
39195354,"To assess corneal tomographic, topographic, and refractive changes in children with high astigmatism and their ability to exclude keratoconus.",Keratoconus,LABEL_0
39188922,Cardiac resynchronization therapy in acute heart failure and left bundle-branch block in a real-life registry.,Heart Failure,LABEL_0
39188922,Cardiac resynchronization therapy in acute heart failure and left bundle-branch block in a real-life registry.,Heart Failure,LABEL_1
39188922,Cardiac resynchronization therapy in acute heart failure and left bundle-branch block in a real-life registry.,Bundle-Branch Block,LABEL_0
39188922,Cardiac resynchronization therapy in acute heart failure and left bundle-branch block in a real-life registry.,Bundle-Branch Block,LABEL_1
39188922,Cardiac resynchronization therapy in acute heart failure and left bundle-branch block in a real-life registry.,Bundle-Branch Block,LABEL_1
39188922,Cardiac resynchronization therapy in acute heart failure and left bundle-branch block in a real-life registry.,Bundle-Branch Block,LABEL_1
39188922,Cardiac resynchronization therapy in acute heart failure and left bundle-branch block in a real-life registry.,Heart Block,LABEL_1
39188922,Cardiac resynchronization therapy in acute heart failure and left bundle-branch block in a real-life registry.,Heart Block,LABEL_1
39188922,"To determine the prevalence, characteristics, timing of implementation and prognosis of patients with left bundle branch block (LBBB) and acute heart failure (AHF) treated with cardiac resynchronization therapy (CRT) in a real-life registry.",Heart Failure,LABEL_1
39188922,"To determine the prevalence, characteristics, timing of implementation and prognosis of patients with left bundle branch block (LBBB) and acute heart failure (AHF) treated with cardiac resynchronization therapy (CRT) in a real-life registry.",Prognosis,LABEL_0
39188922,"To determine the prevalence, characteristics, timing of implementation and prognosis of patients with left bundle branch block (LBBB) and acute heart failure (AHF) treated with cardiac resynchronization therapy (CRT) in a real-life registry.",Heart Block,LABEL_1
39184900,"This study investigates the relationships between an individual's self-satisfaction within different life areas, which correspond to Bracken's self-concept primary domains (competence, family, social, physical, emotional, and academic domains), and Zuckerman's Alternative Five-Factor Model of Personality (AFFM).",Personality,LABEL_0
39184900,"This study investigates the relationships between an individual's self-satisfaction within different life areas, which correspond to Bracken's self-concept primary domains (competence, family, social, physical, emotional, and academic domains), and Zuckerman's Alternative Five-Factor Model of Personality (AFFM).",Personality,LABEL_0
39183978,"Maternal diabetes mellitus is among the most frequent environmental contributors to congenital birth defects, including heart defects and craniofacial anomalies, yet the cell types affected and mechanisms of disruption are largely unknown.",Diabetes Mellitus,LABEL_0
39183978,"Maternal diabetes mellitus is among the most frequent environmental contributors to congenital birth defects, including heart defects and craniofacial anomalies, yet the cell types affected and mechanisms of disruption are largely unknown.",Heart Defects,LABEL_0
39183978,"Maternal diabetes mellitus is among the most frequent environmental contributors to congenital birth defects, including heart defects and craniofacial anomalies, yet the cell types affected and mechanisms of disruption are largely unknown.",Heart Defects,LABEL_1
39183978,"Maternal diabetes mellitus is among the most frequent environmental contributors to congenital birth defects, including heart defects and craniofacial anomalies, yet the cell types affected and mechanisms of disruption are largely unknown.",Heart Defects,LABEL_0
39171286,"Liquid biopsy is a broad term that defines a non-invasive test done on a sample of blood or other body fluid to look for cancer cells or other analytes that can include DNA, RNA, or other molecules released by tumor cells.",Liquid Biopsy,LABEL_1
39171278,Advances in metabolomics of chronic obstructive pulmonary disease.,Disease,LABEL_0
39171278,Advances in metabolomics of chronic obstructive pulmonary disease.,Chronic Disease,LABEL_0
39171278,Advances in metabolomics of chronic obstructive pulmonary disease.,Chronic Disease,LABEL_1
39171278,Advances in metabolomics of chronic obstructive pulmonary disease.,Chronic Disease,LABEL_0
39171278,Chronic obstructive pulmonary disease (COPD) is a chronic lung disease with limited airflow.,Disease,LABEL_0
39171278,Chronic obstructive pulmonary disease (COPD) is a chronic lung disease with limited airflow.,Disease,LABEL_0
39171278,Chronic obstructive pulmonary disease (COPD) is a chronic lung disease with limited airflow.,Chronic Disease,LABEL_0
39171278,Chronic obstructive pulmonary disease (COPD) is a chronic lung disease with limited airflow.,Chronic Disease,LABEL_0
39171278,Chronic obstructive pulmonary disease (COPD) is a chronic lung disease with limited airflow.,Chronic Disease,LABEL_0
39165415,Physicians need to be aware of the signs and symptoms of these paraneoplastic syndromes and include an underlying malignancy as part of the differential diagnosis.,Signs and Symptoms,LABEL_0
39165415,Physicians need to be aware of the signs and symptoms of these paraneoplastic syndromes and include an underlying malignancy as part of the differential diagnosis.,Signs and Symptoms,LABEL_1
39158224,"These factors include: (1) organizational resources such as organizational structures, and skilled human, financial, and information resources; (2) legal frameworks, policies, and guidelines for HTA; (3) learning and advocacy for HTA; (4) stakeholder-related factors such as stakeholders' interests, awareness, and understanding; and (5) collaborative support for HTA through international networks and non-governmental and multi-lateral organizations.",Awareness,LABEL_0
39157750,"The importance of surveillance, informed decision-making and the implementation of preventive strategies is highlighted to ensure the safety and effectiveness of pharmacological treatment in patients with specific clinical conditions, such as T2D and concomitant cardiovascular diseases.",Clinical Decision-Making,LABEL_0
39157456,Constitutive androstane receptor: A tumor suppressor and a biomarker for favorable prognosis of liver diseases.,Prognosis,LABEL_0
39157223,"Specifically, these complications include avascular necrosis, varus collapse, intra-articular screw penetration, and postoperative stiffness.",Postoperative Complications,LABEL_1
39157223,"Specifically, these complications include avascular necrosis, varus collapse, intra-articular screw penetration, and postoperative stiffness.",Necrosis,LABEL_0
39157223,"In turn, fibular strut endosteal augmentation was introduced to provide additional support and decrease implant failure rates in displaced fractures with varus coronal malalignment and significant metaphyseal bone loss.",Bone Malalignment,LABEL_1
39156663,Risk factors for interstitial lung disease in rheumatoid arthritis: a cohort study from the KOBIO registry.,Disease,LABEL_0
39156663,Interstitial lung disease (ILD) is a critical extra-articular manifestation of rheumatoid arthritis (RA).,Arthritis,LABEL_0
39156493,"These examples contribute significantly to improving the performance of supervised machine learning models, and thus, active learning can play an essential role in selecting the most appropriate information in deep learning-based diagnosis, clinical assessments, and treatment planning.",Role,LABEL_0
39156043,"A 38-year-old patient diagnosed with asthma and anxiety, who takes two medications (salbutamol 100 mcg inhaler (2 puffs every 6 hours), and diazepam 5 mg (0-0-1), visited the Community Pharmacy to pick up a treatment prescribed by the Primary Care Physician (PCP) following a diagnosis of anxious-depressive symptoms.During the Dispensing Service, a potential Drug-Related Problem (DRP) of prescription error is detected, which could be related with a Negative Outcomes Releated to Medicines (NOM) due to the concurrent use of desvenlafaxine and mirtazapine.",Asthma,LABEL_0
39155966,Examining the Role of Passive Design Indicators in Energy Burden Reduction: Insights from a Machine Learning and Deep Learning Approach.,Role,LABEL_0
39155966,Examining the Role of Passive Design Indicators in Energy Burden Reduction: Insights from a Machine Learning and Deep Learning Approach.,Learning,LABEL_0
39155966,Examining the Role of Passive Design Indicators in Energy Burden Reduction: Insights from a Machine Learning and Deep Learning Approach.,Learning,LABEL_1
39148898,"Most jurisdictions globally prohibit some or all aspects of sex work with New Zealand constituting a notable exception, where sex work has been decriminalized and regulated via OHS guidelines.",Sex,LABEL_1
39148898,"Most jurisdictions globally prohibit some or all aspects of sex work with New Zealand constituting a notable exception, where sex work has been decriminalized and regulated via OHS guidelines.",Sex Work,LABEL_1
