Code|Description
V010|Contact with or exposure to cholera
V011|Contact with or exposure to tuberculosis
V012|Contact with or exposure to poliomyelitis
V013|Contact with or exposure to smallpox
V014|Contact with or exposure to rubella
V015|Contact with or exposure to rabies
V016|Contact with or exposure to venereal diseases
V019|Contact with or exposure to unspecified communicable disease
V020|Carrier or suspected carrier of cholera
V021|Carrier or suspected carrier of typhoid
V022|Carrier or suspected carrier of amebiasis
V023|Carrier or suspected carrier of other gastrointestinal pathogens
V024|Carrier or suspected carrier of diphtheria
V027|Carrier or suspected carrier of gonorrhea
V028|Carrier or suspected carrier of other venereal diseases
V029|Carrier or suspected carrier of other specified infectious organism
V030|Need for prophylactic vaccination and inoculation against cholera alone
V031|Need for prophylactic vaccination and inoculation against typhoid-paratyphoid alone [TAB]
V032|Need for prophylactic vaccination and inoculation against tuberculosis [BCG]
V033|Need for prophylactic vaccination and inoculation against plague
V034|Need for prophylactic vaccination and inoculation against tularemia
V035|Need for prophylactic vaccination and inoculation against diphtheria alone
V036|Need for prophylactic vaccination and inoculation against pertussis alone
V037|Need for prophylactic vaccination and inoculation against tetanus toxoid alone
V039|Need for prophylactic vaccination and inoculation against unspecified single bacterial disease
V040|Need for prophylactic vaccination and inoculation against poliomyelitis
V041|Need for prophylactic vaccination and inoculation against smallpox
V042|Need for prophylactic vaccination and inoculation against measles alone
V043|Need for prophylactic vaccination and inoculation against rubella alone
V044|Need for prophylactic vaccination and inoculation against yellow fever
V045|Need for prophylactic vaccination and inoculation against rabies
V046|Need for prophylactic vaccination and inoculation against mumps alone
V047|Need for prophylactic vaccination and inoculation against common cold
V050|Need for prophylactic vaccination and inoculation against arthropod-borne viral encephalitis
V051|Need for prophylactic vaccination and inoculation against other arthropod-borne viral diseases
V052|Need for prophylactic vaccination and inoculation against leishmaniasis
V053|Need for prophylactic vaccination and inoculation against viral hepatitis
V054|Need for prophylactic vaccination and inoculation against varicella
V058|Need for prophylactic vaccination and inoculation against other specified disease
V059|Need for prophylactic vaccination and inoculation against unspecified single disease
V060|Need for prophylactic vaccination and inoculation against cholera with typhoid-paratyphoid [cholera + TAB]
V061|Need for prophylactic vaccination and inoculation against diphtheria-tetanus-pertussis, combined [DTP] [DTaP]
V062|Need for prophylactic vaccination and inoculation against diptheria-tetanus- pertussis with typhoid-paratyphoid (DTP + TAB)
V063|Need for prophylactic vaccination and inoculation against diptheria-tetanus- pertussis with poliomyelitis [DTP + polio]
V064|Need for prophylactic vaccination and inoculation against measles-mumps-rubella (MMR)
V065|Need for prophylactic vaccination and inoculation against tetanus-diphtheria [Td] (DT)
V066|Need for prophylactic vaccination and inoculation against streptococcus pneumoniae [pneumococcus] and influenza
V068|Need for prophylactic vaccination and inoculation against other combinations of diseases
V069|Unspecified combined vaccine
V070|Need for isolation
V071|Need for desensitization to allergens
