Tree Number,Disease Name
C23.888.592.612.054.200,"Abdomen, Acute"
C23.888.821.030.249,"Abdomen, Acute"
C26.017,Abdominal Injuries
C04.588.033,Abdominal Neoplasms
C16.320.565.398.500.440.500,Abetalipoproteinemia
C18.452.584.500.875.440.500,Abetalipoproteinemia
C18.452.584.563.500.440.500,Abetalipoproteinemia
C18.452.648.398.500.440.500,Abetalipoproteinemia
C16.131,Congenital Abnormalities
C16.131.042,"Abnormalities, Drug-Induced"
C16.131.077,"Abnormalities, Multiple"
C16.131.080,"Abnormalities, Radiation-Induced"
C26.733.031,"Abnormalities, Radiation-Induced"
C12.050.703.039,"Abortion, Spontaneous"
C12.050.703.039.089,"Abortion, Habitual"
C12.050.703.039.093,"Abortion, Incomplete"
C12.050.703.039.173,"Abortion, Missed"
C01.674.173,"Abortion, Septic"
C12.050.703.039.256,"Abortion, Septic"
C12.050.703.700.173,"Abortion, Septic"
C12.050.703.090,"Abortion, Threatened"
C12.050.703.039.422,"Abortion, Veterinary"
C22.021,"Abortion, Veterinary"
C12.050.703.420.078,Abruptio Placentae
C12.050.703.590.132,Abruptio Placentae
C01.830.025,Abscess
C23.550.470.756.100,Abscess
C01.748.561.750.500,Peritonsillar Abscess
C01.830.025.675,Peritonsillar Abscess
C07.550.781.750.500,Peritonsillar Abscess
C08.730.561.750.500,Peritonsillar Abscess
C09.775.649.750.500,Peritonsillar Abscess
C17.800.865.070,Acantholysis
C23.550.035,Acantholysis
C17.800.621.430.530.100,Acanthosis Nigricans
C06.405.748.045,Achlorhydria
C18.452.076.087,Achlorhydria
C05.116.099.343.110,Achondroplasia
C05.116.099.708.017,Achondroplasia
C16.320.240.500,Achondroplasia
C18.452.076,Acid-Base Imbalance
C18.452.076.176,Acidosis
C18.452.076.176.180,"Acidosis, Lactic"
C12.050.351.968.419.815.093,"Acidosis, Renal Tubular"
C12.200.777.419.815.093,"Acidosis, Renal Tubular"
C12.950.419.815.093,"Acidosis, Renal Tubular"
C16.320.831.093,"Acidosis, Renal Tubular"
C18.452.076.176.210,"Acidosis, Renal Tubular"
C08.618.846.093,"Acidosis, Respiratory"
C18.452.076.176.310,"Acidosis, Respiratory"
C01.150.252.400.560.022,Acinetobacter Infections
C17.800.030.150,Acne Vulgaris
C17.800.794.111,Acne Vulgaris
C17.300.200.425.125,Acne Keloid
C17.800.030.030,Acne Keloid
C17.800.329.500.261,Acne Keloid
C09.218.807.800,Vestibulocochlear Nerve Diseases
C10.292.910,Vestibulocochlear Nerve Diseases
C01.221.250.875.040,Acquired Immunodeficiency Syndrome
C01.221.812.640.400.040,Acquired Immunodeficiency Syndrome
C01.778.640.400.040,Acquired Immunodeficiency Syndrome
C01.925.782.815.616.400.040,Acquired Immunodeficiency Syndrome
C01.925.813.400.040,Acquired Immunodeficiency Syndrome
C01.925.839.040,Acquired Immunodeficiency Syndrome
C12.100.937.640.400.040,Acquired Immunodeficiency Syndrome
C20.673.480.040,Acquired Immunodeficiency Syndrome
C05.116.099.370.894.232.015,Acrocephalosyndactylia
C05.116.099.370.894.819.100,Acrocephalosyndactylia
C05.660.207.240.100,Acrocephalosyndactylia
C05.660.585.800.100,Acrocephalosyndactylia
C05.660.906.364.100,Acrocephalosyndactylia
C05.660.906.819.100,Acrocephalosyndactylia
C16.131.621.207.240.100,Acrocephalosyndactylia
C16.131.621.585.800.100,Acrocephalosyndactylia
C16.131.621.906.364.100,Acrocephalosyndactylia
C16.131.621.906.819.100,Acrocephalosyndactylia
C16.131.831.066,Acrodermatitis
C17.800.174.100,Acrodermatitis
C17.800.804.066,Acrodermatitis
C10.668.829.025,Acrodynia
C10.720.475.600.150,Acrodynia
C25.723.522.875.500.100,Acrodynia
C05.116.132.082,Acromegaly
C10.228.140.617.738.250.100,Acromegaly
C19.700.355.179,Acromegaly
C04.730.713.317,"ACTH Syndrome, Ectopic"
C01.150.252.400.700.030.178,Actinobacillosis
C22.039,Actinobacillosis
C01.150.252.400.700.030,Actinobacillus Infections
C01.150.252.410.040,Actinomycetales Infections
C01.150.252.410.040.137,Actinomycosis
C01.150.252.410.040.137.316,"Actinomycosis, Cervicofacial"
C01.150.252.819.110,"Actinomycosis, Cervicofacial"
C01.800.720.110,"Actinomycosis, Cervicofacial"
C17.800.838.765.110,"Actinomycosis, Cervicofacial"
C23.550.291.125,Acute Disease
C23.550.470.099,Acute-Phase Reaction
C14.280.067.558.137,Adams-Stokes Syndrome
C14.280.123.500.137,Adams-Stokes Syndrome
C23.550.073.425.025,Adams-Stokes Syndrome
C19.053.500.263,Addison Disease
C20.111.163,Addison Disease
C04.557.470.200.025,Adenocarcinoma
C04.557.470.200.025.085,"Adenocarcinoma, Papillary"
C04.557.450.565.590.595.050,Adenofibroma
