PMID,Sentence,Found Terms
39196156,Cardiovascular disease remains a leading cause of death worldwide despite important advances in modern medical and surgical therapies.,"Disease, Death"
39196156,"As human adult cardiomyocytes have limited regenerative ability, cardiomyocytes lost after myocardial infarction are replaced by fibrotic scar tissue, leading to cardiac dysfunction and heart failure.","Heart Failure, Myocardial Infarction, Infarction"
39196154,"Report from the 2023 workshop on endothelial permeability, edema and inflammation.","Edema, Inflammation"
39196152,"Atherosclerosis is a chronic inflammatory disease of the arteries that can lead to thrombosis, infarction and stroke, underlying the first cause of mortality worldwide.","Disease, Thrombosis, Infarction, Atherosclerosis, Chronic Disease, Stroke"
39196152,"Adaptive immunity plays critical roles in atherosclerosis, and numerous studies have ascribed both atheroprotective and atherogenic functions to specific subsets of T and B cells.","Adaptive Immunity, Immunity, Atherosclerosis"
39196152,"Understanding antigen triggers in atherosclerosis is crucial to delve deeper into mechanisms of disease initiation and progression and to implement specific immunotherapeutic approaches, including vaccination strategies.","Disease, Atherosclerosis, Disease Progression"
39196152,Here we review the role of adaptive immunity in atherosclerosis and the insights that single-cell technology has provided into the function of distinct immune cell subsets.,"Role, Adaptive Immunity, Immunity, Atherosclerosis"
39196150,"Arrhythmogenic right ventricular cardiomyopathy (ARVC) is a fatal genetic heart disease characterized by cardiac arrhythmias, in which fibrofatty deposition leads to heart failure, with no effective treatments.","Heart Failure, Disease, Arrhythmias, Cardiac"
39196150,"Here, we generate a mouse model harboring a PKP2 mutation (IVS10-1G>C) affecting RNA splicing, recapitulating ARVC features and sudden death starting at 4 weeks.","Death, Death, Sudden"
39196141,Ventricular fibrillation (VF) is a leading immediate cause of sudden cardiac death.,"Ventricular Fibrillation, Death"
39196140,Platelet ceramides drive thrombo-inflammation in aortic aneurysm formation.,"Aneurysm, Aortic Aneurysm, Drive"
39196139,Alkaline ceramidase 1-mediated platelet ceramide catabolism mitigates vascular inflammation and abdominal aortic aneurysm formation.,"Aneurysm, Inflammation, Aortic Aneurysm"
39196139,Abdominal aortic aneurysm (AAA) is a highly lethal vascular disease.,"Disease, Aneurysm, Aortic Aneurysm"
39196139,Platelet-specific Acer1 knockout mice were more susceptible to AAA upon AngII infusion without affecting hemostasis and thrombosis.,"Thrombosis, Hemostasis"
39195892,"GPR15 has been identified as a homing receptor for regulatory T cells in inflammatory intestine diseases, but its role in inflammatory heart diseases is still elusive.","Role, Heart Diseases"
39195358,To describe uncommon techniques that induce compensatory strabismus utilizing slab-off spectacle prism to treat symptomatic incomitant vertical strabismus in adults with diplopia in the reading position only.,"Diplopia, Strabismus"
39195355,The association between developmental delay and endophthalmitis after pediatric cataract surgery using an insurance claims database.,"Association, Cataract, Endophthalmitis"
39195355,To evaluate risk factors for postoperative endophthalmitis in pediatric cataract surgery based on an analysis of a large insurance claims database.,"Cataract, Endophthalmitis"
39195354,Children with high astigmatism: tomographic and refractive characteristics and the ability of current indices to rule out keratoconus.,"Astigmatism, Keratoconus"
39195354,"To assess corneal tomographic, topographic, and refractive changes in children with high astigmatism and their ability to exclude keratoconus.","Astigmatism, Keratoconus"
39192872,Individual differences in preschoolers' spatial thinking: Comprehension of dimensional adjectives and their relation to children's performance on non-verbal spatial tasks.,"Comprehension, Thinking"
39188922,Cardiac resynchronization therapy in acute heart failure and left bundle-branch block in a real-life registry.,"Heart Failure, Bundle-Branch Block, Heart Block"
39188922,"To determine the prevalence, characteristics, timing of implementation and prognosis of patients with left bundle branch block (LBBB) and acute heart failure (AHF) treated with cardiac resynchronization therapy (CRT) in a real-life registry.","Heart Failure, Prognosis, Heart Block"
39184900,"This study investigates the relationships between an individual's self-satisfaction within different life areas, which correspond to Bracken's self-concept primary domains (competence, family, social, physical, emotional, and academic domains), and Zuckerman's Alternative Five-Factor Model of Personality (AFFM).","Personality, Family"
39183978,"Maternal diabetes mellitus is among the most frequent environmental contributors to congenital birth defects, including heart defects and craniofacial anomalies, yet the cell types affected and mechanisms of disruption are largely unknown.","Diabetes Mellitus, Heart Defects, Congenital"
39171286,Liquid biopsy for early detection of lung cancer.,"Liquid Biopsy, Early Detection of Cancer, Biopsy"
39171286,Early cancer detection plays an important role in improving treatment success and patient prognosis.,"Role, Prognosis"
39171286,"In the past decade, liquid biopsy became an important tool for cancer diagnosis, as well as for treatment selection and response monitoring.","Liquid Biopsy, Diagnosis, Biopsy"
39171286,"Liquid biopsy is a broad term that defines a non-invasive test done on a sample of blood or other body fluid to look for cancer cells or other analytes that can include DNA, RNA, or other molecules released by tumor cells.","Liquid Biopsy, Biopsy"
39171286,This review summarizes the progress and clinical application potential of liquid biopsy for early detection of lung cancer.,"Liquid Biopsy, Early Detection of Cancer, Biopsy"
