rid,disease_cui,symptom_cui
1,C0001175,C1720342
898,C0001175,C1720231
1167,C0001175,C1719857
2,C0001314,C0232597
308,C0001314,C0585542
1168,C0001314,C0155002
3,C0001344,C0242429
4,C0001344,C0423630
1169,C0001396,C0039070
2051,C0002418,C1571956
5,C0002453,C0497456
309,C0002963,C0002962
592,C0002963,C0030193
6,C0003123,C0426579
1758,C0003460,C0028962
1455,C0004095,C0422943
1456,C0004095,C0042818
1759,C0004095,C0234660
593,C0004509,C0232983
1457,C0004509,C0232982
1458,C0004606,C1319539
1459,C0004608,C1319589
1760,C0004608,C1319587
2052,C0004608,C1319588
7,C0004782,C0221169
8,C0005461,C0547030
1761,C0005937,C0577572
594,C0006111,C0341865
310,C0006145,C0425791
899,C0006145,C0233390
311,C0006261,C0264345
1170,C0006430,C0017672
2053,C0006430,C0241426
2054,C0006430,C0012766
9,C0007222,C0700200
1460,C0007222,C0039070
900,C0007462,C0030193
595,C0007682,C0521668
1171,C0007682,C0018991
1461,C0007682,C1321324
901,C0007760,C0007758
312,C0007761,C0027066
1462,C0007761,C1961111
1762,C0007761,C0007758
1172,C0007862,C0030193
2055,C0007863,C0578055
10,C0007932,C0007942
11,C0008489,C0427086
1173,C0008489,C0454605
902,C0008679,C0232598
12,C0008711,C0264272
1763,C0008711,C1563338
313,C0009088,C0030193
596,C0009088,C0018681
1174,C0009088,C0027796
1175,C0009373,C0009806
2056,C0009421,C0362036
1176,C0009443,C0426471
13,C0009663,C0343731
14,C0009663,C0240715
2057,C0009663,C0577567
597,C0009952,C0036572
1177,C0010034,C0339249
903,C0010073,C0348588
314,C0010264,C0026821
1463,C0010264,C1536352
315,C0010269,C0027796
316,C0010269,C0030193
15,C0010314,C0234861
1178,C0010488,C0030193
16,C0011168,C0392678
1179,C0011168,C0221150
1464,C0011168,C0426601
1465,C0011168,C1542154
17,C0011346,C1290644
317,C0011346,C1290643
1466,C0011432,C0241457
1764,C0011432,C0241462
2058,C0011603,C0152030
598,C0011606,C0041834
18,C0011757,C0478662
318,C0011849,C1319540
904,C0011849,C1319537
905,C0011849,C1319539
1180,C0011849,C1319542
1467,C0011849,C1319541
1765,C0011849,C1319544
2059,C0011849,C1319538
2060,C0011849,C1319543
19,C0011884,C1319537
2061,C0011884,C1319538
20,C0012569,C0547030
1181,C0012569,C0271190
1766,C0012569,C0271186
319,C0012634,C0042963
1468,C0012634,C0037088
320,C0013080,C0234862
2062,C0013238,C0314719
1182,C0013369,C0011991
21,C0013384,C0234979
1469,C0013384,C0235778
1470,C0013384,C0234131
1471,C0013384,C0520966
1767,C0013384,C0234357
321,C0013394,C0423610
2063,C0013394,C0423746
599,C0013405,C1956415
1183,C0013405,C0013404
322,C0013423,C0393610
906,C0013447,C0034880
907,C0013447,C0271412
1472,C0013447,C0155536
1768,C0013447,C0439029
908,C0013537,C0036572
1473,C0013677,C0038187
323,C0014122,C0240608
22,C0014130,C0578054
600,C0014130,C0577571
601,C0014175,C0030193
324,C0014177,C0030193
