symptom_cui|disease_cui|symptom_name|disease_name|icd9_code
C0000727|C1290864|Abdomen, Acute; acute abdomen; Acute abdomen; ACUTE ABDOMEN; acute; abdomen; abdomen acute; ABDOMEN ACUTE; abdomen; acute; Abdomens, Acute; Acute Abdomens; Acute abdomen, NOS; Acute Abdomen; Syndrome abdominal acute; ABDOMINAL SYNDROME ACUTE; acute abdominal syndrome; Abdominal syndrome acute; abdominal; syndrome, acute; acute; abdominal syndrome; syndrome; acute abdominal; SYNDROME ABDOMINAL ACUTE; syndrome; abdominal, acute; Acute abdominal pain; Acute abdominal pain syndrome; Acute abdominal pain syndrome, NOS; Acute abdomen (disorder); Surgical abdomen; surgical abdomen; abdomen; acute abdomen; pain; abdomen, general, acute abdomen; abdomen; pain, general, acute abdomen; acute abdomen (diagnosis)|Disorder of abdomen; disorder of abdomen; Abdominal disorder; abdominal disorder; abdominal disorders; ABDOMINAL DISORDERS; disorder of abdomen (diagnosis); disease of abdomen; abdomen diseases; abdomen disease; Disorder of abdomen (disorder)|7936 - Nonspecific (abnormal) findings on radiological and other examination of abdominal area, including retroperitoneum
C0000737|C0151824|Abdominal Pain; PAIN ABDOMINAL; Pain abdominal; Pain;abdominal; pain; abdominal; ABDOMINAL PAIN; Abdominal pain; abdominal pain; abdominal; pain; Abdominal Pains; ABDOMINAL PAIN NOS; Pains, Abdominal; Abdominal pain NOS; abdominal pains; Pain, Abdominal; Stomach pain; Pain in stomach; Abdominal pain, unspecified site; AP - Abdominal pain; Gut pain; gut pain; abdomen pain; ABDOMEN PAIN; Abdominal pain (finding); abdominalgia; abdominal pain (symptom); Bellyache; Unspecified abdominal pain|Biliary Colic; COLIC BILIARY; colic biliary; Colic biliary; Colic;biliary; BILIARY COLIC; Biliary colic; biliary colic; Pain biliary; BILIARY PAIN; biliary pain; Biliary pain; PAIN BILIARY; Hepatic colic; Biliary colic symptom; Gallbladder pain; pain gallbladder; Pain;gallbladder; Gallbladder Pain; gallbladder pain; Gallbladder pain (finding); colic; bilious; bilious; colic; gallbladder; colic; colic; gallbladder; Biliary colic (finding); bladder gall pain; GALL BLADDER PAIN; gall bladder pain|1568 - Malignant neoplasm of other specified sites of gallbladder and extrahepatic bile ducts
C0000737|C0458225|Abdominal Pain; PAIN ABDOMINAL; Pain abdominal; Pain;abdominal; pain; abdominal; ABDOMINAL PAIN; Abdominal pain; abdominal pain; abdominal; pain; Abdominal Pains; ABDOMINAL PAIN NOS; Pains, Abdominal; Abdominal pain NOS; abdominal pains; Pain, Abdominal; Stomach pain; Pain in stomach; Abdominal pain, unspecified site; AP - Abdominal pain; Gut pain; gut pain; abdomen pain; ABDOMEN PAIN; Abdominal pain (finding); abdominalgia; abdominal pain (symptom); Bellyache; Unspecified abdominal pain|Lumbar facet joint pain; Facet syndrome of lumbar spine; Lumbar zygapophysial joint pain; Lumbar facet joint pain (finding); lumbar facet syndrome (diagnosis); Lumbar facet syndrome; lumbar facet syndrome|7237 - Ossification of posterior longitudinal ligament in cervical region
C0000737|C3266155|Abdominal Pain; PAIN ABDOMINAL; Pain abdominal; Pain;abdominal; pain; abdominal; ABDOMINAL PAIN; Abdominal pain; abdominal pain; abdominal; pain; Abdominal Pains; ABDOMINAL PAIN NOS; Pains, Abdominal; Abdominal pain NOS; abdominal pains; Pain, Abdominal; Stomach pain; Pain in stomach; Abdominal pain, unspecified site; AP - Abdominal pain; Gut pain; gut pain; abdomen pain; ABDOMEN PAIN; Abdominal pain (finding); abdominalgia; abdominal pain (symptom); Bellyache; Unspecified abdominal pain|Functional abdominal pain syndrome; Functional abdominal pain syndrome (disorder)|3383 - Neoplasm related pain (acute) (chronic)
C0002758|C0267515|Anal or rectal pain|Chronic idiopathic anal pain; Chronic idiopathic anal pain (disorder)|5563 - Ulcerative (chronic) proctosigmoiditis
C0002962|C0002963|Angina Pectoris; pectoris angina; ANGINA PECTORIS; Angina pectoris; angina pectoris; Angina pectoris, NOS; Angina; ANGINA; angina; Angina, NOS; Angina NOS; anginas; Anginal pain; ANGINAL PAIN; anginal pain; Angor Pectoris; angor pectoris; Stenocardia; stenocardia; Stenocardias; Cardiac angina syndrome; Angina of effort; Angina pectoris syndrome; Anginal syndrome; syndrome; anginal; ANGINAL SYNDROME; anginal syndrome; anginal; syndrome; ANGINAL SYNDROMES; Cardiac angina; Angina, cardiac; cardiac angina; Ischemic heart disease - angina; Ischaemic heart disease - angina; Ischemic heart disease with angina; Ischaemic heart disease with angina; Angina pectoris, unspecified; AP - Angina pectoris; Ischemic chest pain (diagnosis); Ischemic chest pain; chest pain ischemic; chest; pain, ischemic; pain; chest, ischemic; ischemic chest pain; Ischaemic chest pain; Angina syndrome; angina pain; Pain;angina; pain angina; Anginal discomfort; Angina (disorder); Ischemic chest pain (finding); angina pectoris (diagnosis)|Angina Pectoris, Variant; Variant angina pectoris; variant angina pectoris; angina pectoris; variant; Variant Angina Pectoris; Prinzmetal Angina; angina prinzmetal; ANGINA PRINZMETAL; Prinzmetal angina; PRINZMETAL ANGINA; prinzmetal angina; Prinzmetal; angina; Prinzmetal's Angina; Angina, Prinzmetal's; Prinzmetal's angina; prinzmetal's angina; Angina, Prinzmetal; prinzmetal variant angina; ANGINA VARIANT <PRINZMETAL>; ANGINA VARIANT PRINZMETAL; PRINZMETAL VARIANT ANGINA; Variant angina; angina variant; VARIANT ANGINA; variant angina; variant; angina; Variant Angina; Coronary artery spasm angina; Vasospastic angina; vasospastic angina; Prinzmetals Angina; prinzmetals angina; Prinzmetal angina (disorder); Prinzmetal's angina (diagnosis)|4139 - Other and unspecified angina pectoris
C0002962|C0086666|Angina Pectoris; pectoris angina; ANGINA PECTORIS; Angina pectoris; angina pectoris; Angina pectoris, NOS; Angina; ANGINA; angina; Angina, NOS; Angina NOS; anginas; Anginal pain; ANGINAL PAIN; anginal pain; Angor Pectoris; angor pectoris; Stenocardia; stenocardia; Stenocardias; Cardiac angina syndrome; Angina of effort; Angina pectoris syndrome; Anginal syndrome; syndrome; anginal; ANGINAL SYNDROME; anginal syndrome; anginal; syndrome; ANGINAL SYNDROMES; Cardiac angina; Angina, cardiac; cardiac angina; Ischemic heart disease - angina; Ischaemic heart disease - angina; Ischemic heart disease with angina; Ischaemic heart disease with angina; Angina pectoris, unspecified; AP - Angina pectoris; Ischemic chest pain (diagnosis); Ischemic chest pain; chest pain ischemic; chest; pain, ischemic; pain; chest, ischemic; ischemic chest pain; Ischaemic chest pain; Angina syndrome; angina pain; Pain;angina; pain angina; Anginal discomfort; Angina (disorder); Ischemic chest pain (finding); angina pectoris (diagnosis)|Myocardial Preinfarction Syndrome; Myocardial preinfarction syndrome; Myocardial Preinfarction Syndromes; Preinfarction Syndromes, Myocardial; Syndromes, Myocardial Preinfarction; Preinfarction Syndrome, Myocardial; Syndrome, Myocardial Preinfarction; Preinfarction syndrome; syndrome; preinfarction; PREINFARCTION SYNDROME; preinfarction; syndrome; Preinfarction angina; Preinfarction syndrome (disorder); Pre-infarction syndrome; Pre infarction syndrome|4110 - Postmyocardial infarction syndrome
C0002962|C0151744|Angina Pectoris; pectoris angina; ANGINA PECTORIS; Angina pectoris; angina pectoris; Angina pectoris, NOS; Angina; ANGINA; angina; Angina, NOS; Angina NOS; anginas; Anginal pain; ANGINAL PAIN; anginal pain; Angor Pectoris; angor pectoris; Stenocardia; stenocardia; Stenocardias; Cardiac angina syndrome; Angina of effort; Angina pectoris syndrome; Anginal syndrome; syndrome; anginal; ANGINAL SYNDROME; anginal syndrome; anginal; syndrome; ANGINAL SYNDROMES; Cardiac angina; Angina, cardiac; cardiac angina; Ischemic heart disease - angina; Ischaemic heart disease - angina; Ischemic heart disease with angina; Ischaemic heart disease with angina; Angina pectoris, unspecified; AP - Angina pectoris; Ischemic chest pain (diagnosis); Ischemic chest pain; chest pain ischemic; chest; pain, ischemic; pain; chest, ischemic; ischemic chest pain; Ischaemic chest pain; Angina syndrome; angina pain; Pain;angina; pain angina; Anginal discomfort; Angina (disorder); Ischemic chest pain (finding); angina pectoris (diagnosis)|Myocardial Ischemia; ISCHEMIA MYOCARDIAL; Ischemia myocardial; ischemia; myocardial; MYOCARDIAL ISCHEMIA; Myocardial ischemia; myocardial ischemia; MYOCARDIAL ISCHAEMIA; Ischemias, Myocardial; Myocardial Ischemias; Myocardial ischaemia; Myocardial ischaemia, NOS; Myocardial ischemia, NOS; myocardial ischaemia; Ischaemia myocardial; Ischemia, Myocardial; Ischemic Heart Disease; HEART, ISCHEMIC DISEASE; ISCHEMIC HEART DISEASE; Ischemic heart disease; ischemic heart disease; Diseases, Ischemic Heart; Heart Diseases, Ischemic; Ischemic Heart Diseases; ISCHEMIC HEART DISEASES; Ischemic heart disease, NOS; Ischaemic heart disease; Ischaemic heart diseases; Ischemic heart disease NOS; Ischemic heart diseases; Ischaemic heart disease, NOS; Disease;ischaemic heart; ischaemic heart disease; Disease, Ischemic Heart; Heart Disease, Ischemic; myocardial ischemia/hypoxia; IHD - Ischemic heart disease; IHD - Ischaemic heart disease; Ischemic heart disease or syndrome; Ischemic Heart Diseases and Syndromes; Cardiac ischemia; cardiac ischemia; cardiac ischaemia; Cardiac ischaemia; ischemic heart disease (diagnosis); IHD; ihd; Ischemic heart disease (disorder); ischemia; heart; myocardium; ischemic; Myocardial ischemia (disorder); myocardial ischemia (diagnosis); Ischemic heart diseases (I20-I25)|0382 - Pneumococcal septicemia [Streptococcus pneumoniae septicemia]
C0002962|C0152172|Angina Pectoris; pectoris angina; ANGINA PECTORIS; Angina pectoris; angina pectoris; Angina pectoris, NOS; Angina; ANGINA; angina; Angina, NOS; Angina NOS; anginas; Anginal pain; ANGINAL PAIN; anginal pain; Angor Pectoris; angor pectoris; Stenocardia; stenocardia; Stenocardias; Cardiac angina syndrome; Angina of effort; Angina pectoris syndrome; Anginal syndrome; syndrome; anginal; ANGINAL SYNDROME; anginal syndrome; anginal; syndrome; ANGINAL SYNDROMES; Cardiac angina; Angina, cardiac; cardiac angina; Ischemic heart disease - angina; Ischaemic heart disease - angina; Ischemic heart disease with angina; Ischaemic heart disease with angina; Angina pectoris, unspecified; AP - Angina pectoris; Ischemic chest pain (diagnosis); Ischemic chest pain; chest pain ischemic; chest; pain, ischemic; pain; chest, ischemic; ischemic chest pain; Ischaemic chest pain; Angina syndrome; angina pain; Pain;angina; pain angina; Anginal discomfort; Angina (disorder); Ischemic chest pain (finding); angina pectoris (diagnosis)|Angina decubitus; decubitus angina; Decubitus angina; decubitus; angina; angina decubitus; angina; decubitus; Angina at rest; angina at rest; Anginal chest pain at rest; Angina on recumbency; Angina decubitus (disorder); rest angina; angina decubitus (diagnosis); angina pectoris decubitus|4130 - Angina decubitus
C0002962|C0264675|Angina Pectoris; pectoris angina; ANGINA PECTORIS; Angina pectoris; angina pectoris; Angina pectoris, NOS; Angina; ANGINA; angina; Angina, NOS; Angina NOS; anginas; Anginal pain; ANGINAL PAIN; anginal pain; Angor Pectoris; angor pectoris; Stenocardia; stenocardia; Stenocardias; Cardiac angina syndrome; Angina of effort; Angina pectoris syndrome; Anginal syndrome; syndrome; anginal; ANGINAL SYNDROME; anginal syndrome; anginal; syndrome; ANGINAL SYNDROMES; Cardiac angina; Angina, cardiac; cardiac angina; Ischemic heart disease - angina; Ischaemic heart disease - angina; Ischemic heart disease with angina; Ischaemic heart disease with angina; Angina pectoris, unspecified; AP - Angina pectoris; Ischemic chest pain (diagnosis); Ischemic chest pain; chest pain ischemic; chest; pain, ischemic; pain; chest, ischemic; ischemic chest pain; Ischaemic chest pain; Angina syndrome; angina pain; Pain;angina; pain angina; Anginal discomfort; Angina (disorder); Ischemic chest pain (finding); angina pectoris (diagnosis)|Angina, class I (disorder); Angina, class I; class I angina; class I angina pectoris (diagnosis); class I angina pectoris; angina pectoris class I|4139 - Other and unspecified angina pectoris
