PMID,Sentence,MeSH Term Found,Title/Abstract
39196152,"Atherosclerosis is a chronic inflammatory disease of the arteries that can lead to thrombosis, infarction and stroke, underlying the first cause of mortality worldwide.",Disease,Abstract
39196152,"Adaptive immunity plays critical roles in atherosclerosis, and numerous studies have ascribed both atheroprotective and atherogenic functions to specific subsets of T and B cells.",Sclerosis,Abstract
39196152,Here we review the role of adaptive immunity in atherosclerosis and the insights that single-cell technology has provided into the function of distinct immune cell subsets.,Sclerosis,Abstract
39196150,"Here, we generate a mouse model harboring a PKP2 mutation (IVS10-1G>C) affecting RNA splicing, recapitulating ARVC features and sudden death starting at 4 weeks.",Death,Abstract
39196146,Macrophage TREM2 as a new player in atherosclerosis.,Sclerosis,Title
39196145,Are device-detected atrial high-rate episodes a risk marker for stroke?,Stroke,Title
39196140,Platelet ceramides drive thrombo-inflammation in aortic aneurysm formation.,Aneurysm,Title
39196139,Alkaline ceramidase 1-mediated platelet ceramide catabolism mitigates vascular inflammation and abdominal aortic aneurysm formation.,Aneurysm,Title
39196139,Abdominal aortic aneurysm (AAA) is a highly lethal vascular disease.,Aneurysm,Abstract
39196139,Platelet-specific Acer1 knockout mice were more susceptible to AAA upon AngII infusion without affecting hemostasis and thrombosis.,Thrombosis,Abstract
39195356,Direct medical costs of globe salvage in group C-E retinoblastoma and implications for cost-effectiveness.,Retinoblastoma,Title
39195356,To determine the direct medical costs and cost-effectiveness of globe salvage compared with primary enucleation in patients with advanced retinoblastoma.,Retinoblastoma,Abstract
39195355,The association between developmental delay and endophthalmitis after pediatric cataract surgery using an insurance claims database.,Cataract,Title
39195355,To evaluate risk factors for postoperative endophthalmitis in pediatric cataract surgery based on an analysis of a large insurance claims database.,Cataract,Abstract
39188987,"Now, new insights into the modulation of chromatin acylation and transcription by aberrant oxidation of propionyl-CoA are revealed in the dysfunctional hearts of mice with propionic acidemia.",Propionic Acidemia,Abstract
39188301,"Aging has long been considered the basis of age-related diseases, as senescent cells gradually accumulate in tissues with increasing age, tissues exhibit aging and normal physiological functions are inhibited.",Disease,Abstract
39188301,"In this review, we first elucidate the main characteristics of senescent cells from morphological, functional and molecular levels, and discuss in detail the process of accumulation of senescent cells in tissues.",Tics,Abstract
