PMID,Sentence,Found Terms,Classification
39196156,Cardiovascular disease remains a leading cause of death worldwide despite important advances in modern medical and surgical therapies.,Disease,Disease
39196156,Cardiovascular disease remains a leading cause of death worldwide despite important advances in modern medical and surgical therapies.,Death,Unknown
39196156,"As human adult cardiomyocytes have limited regenerative ability, cardiomyocytes lost after myocardial infarction are replaced by fibrotic scar tissue, leading to cardiac dysfunction and heart failure.",Heart Failure,Disease
39196156,"As human adult cardiomyocytes have limited regenerative ability, cardiomyocytes lost after myocardial infarction are replaced by fibrotic scar tissue, leading to cardiac dysfunction and heart failure.",Myocardial Infarction,Disease
39196156,"As human adult cardiomyocytes have limited regenerative ability, cardiomyocytes lost after myocardial infarction are replaced by fibrotic scar tissue, leading to cardiac dysfunction and heart failure.",Infarction,Unknown
39196154,"Report from the 2023 workshop on endothelial permeability, edema and inflammation.",Edema,Unknown
39196154,"Report from the 2023 workshop on endothelial permeability, edema and inflammation.",Inflammation,Unknown
39196152,"Atherosclerosis is a chronic inflammatory disease of the arteries that can lead to thrombosis, infarction and stroke, underlying the first cause of mortality worldwide.",Disease,Disease
39196152,"Atherosclerosis is a chronic inflammatory disease of the arteries that can lead to thrombosis, infarction and stroke, underlying the first cause of mortality worldwide.",Thrombosis,Unknown
39196152,"Atherosclerosis is a chronic inflammatory disease of the arteries that can lead to thrombosis, infarction and stroke, underlying the first cause of mortality worldwide.",Infarction,Unknown
39196152,"Atherosclerosis is a chronic inflammatory disease of the arteries that can lead to thrombosis, infarction and stroke, underlying the first cause of mortality worldwide.",Atherosclerosis,Disease
39196152,"Atherosclerosis is a chronic inflammatory disease of the arteries that can lead to thrombosis, infarction and stroke, underlying the first cause of mortality worldwide.",Chronic Disease,Disease
39196152,"Atherosclerosis is a chronic inflammatory disease of the arteries that can lead to thrombosis, infarction and stroke, underlying the first cause of mortality worldwide.",Stroke,Disease
39196152,"Adaptive immunity plays critical roles in atherosclerosis, and numerous studies have ascribed both atheroprotective and atherogenic functions to specific subsets of T and B cells.",Adaptive Immunity,Unknown
39196152,"Adaptive immunity plays critical roles in atherosclerosis, and numerous studies have ascribed both atheroprotective and atherogenic functions to specific subsets of T and B cells.",Immunity,Unknown
39196152,"Adaptive immunity plays critical roles in atherosclerosis, and numerous studies have ascribed both atheroprotective and atherogenic functions to specific subsets of T and B cells.",Atherosclerosis,Disease
39196152,"Understanding antigen triggers in atherosclerosis is crucial to delve deeper into mechanisms of disease initiation and progression and to implement specific immunotherapeutic approaches, including vaccination strategies.",Disease,Disease
39196152,"Understanding antigen triggers in atherosclerosis is crucial to delve deeper into mechanisms of disease initiation and progression and to implement specific immunotherapeutic approaches, including vaccination strategies.",Atherosclerosis,Disease
39196152,"Understanding antigen triggers in atherosclerosis is crucial to delve deeper into mechanisms of disease initiation and progression and to implement specific immunotherapeutic approaches, including vaccination strategies.",Disease Progression,Unknown
39196152,Here we review the role of adaptive immunity in atherosclerosis and the insights that single-cell technology has provided into the function of distinct immune cell subsets.,Role,Unknown
39196152,Here we review the role of adaptive immunity in atherosclerosis and the insights that single-cell technology has provided into the function of distinct immune cell subsets.,Adaptive Immunity,Unknown
39196152,Here we review the role of adaptive immunity in atherosclerosis and the insights that single-cell technology has provided into the function of distinct immune cell subsets.,Immunity,Unknown
