cui,term,semantic_type
C0000727,"Abdomen, Acute",T184
C0000727,"Abdomen, Acute",T184
C0000727,acute abdomen,T184
C0000727,acute abdomen,T184
C0000727,acute abdomen,T184
C0000727,Acute abdomen,T184
C0000727,Acute abdomen,T184
C0000727,Acute abdomen,T184
C0000727,Acute abdomen,T184
C0000727,Acute abdomen,T184
C0000727,Acute abdomen,T184
C0000727,Acute abdomen,T184
C0000727,Acute abdomen,T184
C0000727,Acute abdomen,T184
C0000727,ACUTE ABDOMEN,T184
C0000727,acute; abdomen,T184
C0000727,abdomen acute,T184
C0000727,ABDOMEN ACUTE,T184
C0000727,abdomen; acute,T184
C0000727,"Abdomens, Acute",T184
C0000727,Acute Abdomens,T184
C0000727,"Acute abdomen, NOS",T184
C0000727,Acute Abdomen,T184
C0000727,Syndrome abdominal acute,T184
C0000727,ABDOMINAL SYNDROME ACUTE,T184
C0000727,acute abdominal syndrome,T184
C0000727,Abdominal syndrome acute,T184
C0000727,"abdominal; syndrome, acute",T184
C0000727,acute; abdominal syndrome,T184
C0000727,syndrome; acute abdominal,T184
C0000727,SYNDROME ABDOMINAL ACUTE,T184
C0000727,"syndrome; abdominal, acute",T184
C0000727,Acute abdominal pain,T184
C0000727,Acute abdominal pain syndrome,T184
C0000727,"Acute abdominal pain syndrome, NOS",T184
C0000727,Acute abdomen (disorder),T184
C0000727,Surgical abdomen,T184
C0000727,surgical abdomen,T184
C0000727,abdomen; acute abdomen,T184
C0000727,"pain; abdomen, general, acute abdomen",T184
C0000727,"abdomen; pain, general, acute abdomen",T184
C0000727,acute abdomen (diagnosis),T184
C0000729,Abdominal Cramps,T184
C0000729,Abdominal Cramps,T184
C0000729,cramps abdominal,T184
C0000729,ABDOMINAL CRAMPS,T184
C0000729,Abdominal cramps,T184
C0000729,Abdominal cramps,T184
C0000729,Abdominal cramps,T184
C0000729,Abdominal cramps,T184
C0000729,Abdominal cramps,T184
C0000729,Abdominal cramps,T184
C0000729,Abdominal cramps,T184
C0000729,Abdominal cramps,T184
C0000729,Abdominal cramps,T184
C0000729,Abdominal cramps,T184
C0000729,abdominal cramps,T184
C0000729,abdominal cramps,T184
C0000729,ABDOMINAL CRAMP,T184
C0000729,Abdominal Cramp,T184
C0000729,Abdominal Cramp,T184
C0000729,CRAMP ABDOMINAL,T184
C0000729,CRAMP ABDOMINAL,T184
C0000729,"Cramp, Abdominal",T184
C0000729,abdominal cramping,T184
C0000729,abdominal cramp,T184
C0000729,Abdominal cramp,T184
C0000729,Cramp abdominal,T184
C0000729,Cramp(s);abdominal,T184
C0000729,Abdominal cramping,T184
C0000729,Abdominal cramping,T184
C0000729,Abdominal cramping,T184
C0000729,"Cramps, Abdominal",T184
C0000729,Abdominal crampy pains,T184
C0000729,"ABDOMINAL PAIN, CRAMPY",T184
C0000729,crampy abdominal pain,T184
C0000729,Griping abdominal,T184
C0000729,GRIPING ABDOMINAL,T184
C0000729,GRIPING ABDOMINAL,T184
C0000729,Griping abdomen,T184
C0000729,abdomen; cramp(s),T184
C0000729,cramp(s); abdomen,T184
C0000737,Abdominal Pain,T184
C0000737,Abdominal Pain,T184
C0000737,Abdominal Pain,T184
C0000737,Abdominal Pain,T184
C0000737,Abdominal Pain,T184
C0000737,Abdominal Pain,T184
C0000737,PAIN ABDOMINAL,T184
C0000737,Pain abdominal,T184
C0000737,Pain;abdominal,T184
C0000737,pain; abdominal,T184
C0000737,ABDOMINAL PAIN,T184
C0000737,ABDOMINAL PAIN,T184
C0000737,ABDOMINAL PAIN,T184
C0000737,ABDOMINAL PAIN,T184
C0000737,Abdominal pain,T184
C0000737,Abdominal pain,T184
C0000737,Abdominal pain,T184
C0000737,Abdominal pain,T184
C0000737,Abdominal pain,T184
C0000737,Abdominal pain,T184
C0000737,Abdominal pain,T184
C0000737,Abdominal pain,T184
